,Unnamed: 0,2010-02-05,2010-03-05,2010-04-02,2010-05-07,2010-06-04,2010-07-02,2010-08-06,2010-09-03,2010-10-08,2010-11-05,2010-12-03,2011-01-07,2011-02-04,2011-03-04,2011-04-01,2011-05-06,2011-06-03,2011-07-08,2011-08-05,2011-09-02,2011-10-07,2011-11-04,2011-12-02,2012-01-06,2012-02-03,2012-03-09,2012-04-06,2012-05-04,2012-06-01,2012-07-06,2012-08-03,2012-09-07,2012-10-05,2012-11-02,2012-12-07,2013-01-04,2013-02-01,2013-03-08,2013-04-05,2013-05-03,2013-06-07,2013-07-05,2013-08-02,2013-09-06,2013-10-22,2013-11-08,2013-12-06,2014-01-10,2014-02-07,2014-03-07,2014-04-04,2014-05-02,2014-06-06,2014-07-03,2014-08-01,2014-09-05,2014-10-03,2014-11-07,2014-12-05,2015-01-09,2015-02-06,2015-03-06,2015-04-03,2015-05-08,2015-06-05,2015-07-02,2015-08-07,2015-09-04,2015-10-02,2015-11-06,2015-12-04,2016-01-08,2016-02-05,2016-03-04,2016-04-01,2016-05-06,2016-06-03,2016-07-08,2016-08-05,2016-09-02,2016-10-07,2016-11-04,2016-12-02,2017-01-06,2017-02-03,2017-03-10,2017-04-07,2017-05-05,2017-06-02,2017-07-07,2017-08-04,2017-09-01,2017-10-06,2017-11-03,2017-12-08,2018-01-05,2018-02-02,2018-03-09,2018-04-06,2018-05-04,2018-06-01,2018-07-06,2018-08-03,2018-09-07,2018-10-05,2018-11-02,2018-12-07,2019-01-04,2019-02-01,2019-03-08,2019-04-05,2019-05-03,2019-06-07,2019-07-05,2019-08-02,2019-09-06,2019-10-04,2019-11-01,2019-12-06,2020-01-10,2020-02-07,2020-03-06,2020-04-03,2020-05-08,2020-06-05,2020-07-02
0,ANET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
